,Word,Frequency
0,governo,945
1,salvini,750
2,pdl,708
3,renzi,660
4,pd,642
5,solo,605
6,milan,577
7,fini,560
8,attacca,537
9,tv,532
10,premier,493
11,lega,451
12,voto,451
13,bossi,431
14,ruby,391
15,processo,387
16,nuovo,357
17,quirinale,355
18,prodi,349
19,legge,337
20,pm,336
21,centrodestra,335
22,sì,332
23,sfida,326
24,elezioni,318
25,riforme,313
26,milano,307
27,fi,305
28,crisi,302
29,caso,301
30,monti,297
31,scontro,295
32,alfano,292
33,piazza,288
34,bersani,280
35,politica,277
36,roma,276
37,colle,273
38,sinistra,271
39,casini,271
40,meloni,269
41,patto,268
42,leader,266
43,mediaset,264
44,basta,261
45,torna,260
46,rai,252
47,giudici,248
48,napolitano,248
49,letta,247
50,partito,246
51,giustizia,245
52,vertice,241
53,grillo,220
54,frena,218
55,elettorale,216
56,avanti,216
57,senato,209
58,chiede,207
59,campo,207
60,accordo,204
61,putin,203
62,milioni,200
63,soldi,198
64,fare,195
65,palazzo,190
66,arcore,189
67,guerra,185
68,attacco,179
69,candidato,178
70,apre,176
71,paolo,175
72,ue,175
73,bene,174
74,presidente,169
75,chiama,165
76,rnews,165
77,veltroni,164
78,subito,163
79,pronto,162
80,resta,162
81,voti,162
82,grande,161
83,riforma,161
84,tasse,161
85,cavaliere,160
86,arriva,158
87,show,158
88,dice,157
89,fiducia,156
90,fatto,156
91,marina,156
92,fitto,155
93,duello,153
94,decadenza,152
95,stop,151
96,destra,151
97,ritorno,148
98,piano,146
99,serve,145
